title,rank,date,artist,url,region,chart,trend,streams
Want You Back,1,2017-05-08,HAIM,https://open.spotify.com/track/1ZeDWXJnkZOLOmbGEOPSMe,United States,viral50,NEW_ENTRY,
Wake Up,1,2021-08-21,Cheese People,https://open.spotify.com/track/5lLuXWPq7zaPxmaS0yrphL,United States,viral50,SAME_POSITION,
SugarCrash!,1,2021-03-08,ElyOtto,https://open.spotify.com/track/3FxPbp05KjMBa4HbhAJTH0,United States,viral50,MOVE_UP,
Want You Back,1,2017-05-09,HAIM,https://open.spotify.com/track/1ZeDWXJnkZOLOmbGEOPSMe,United States,viral50,SAME_POSITION,
Yucky Blucky Fruitcake,1,2021-04-09,Iamdoechii,https://open.spotify.com/track/1j3SdMJfeRJXycCp50boYE,United States,viral50,SAME_POSITION,
Hadal Ahbek,1,2021-02-09,Issam Alnajjar,https://open.spotify.com/track/0ymn3NBfT1W2QW0d7U5kHS,United States,viral50,SAME_POSITION,
I WANNA BE YOUR SLAVE,1,2021-06-05,Måneskin,https://open.spotify.com/track/4pt5fDVTg5GhEvEtlz9dKk,United States,viral50,MOVE_UP,
abcdefu,1,2021-11-23,GAYLE,https://open.spotify.com/track/4fouWK6XVHhzl78KzQ1UjL,United States,viral50,SAME_POSITION,
Yucky Blucky Fruitcake,1,2021-04-10,Iamdoechii,https://open.spotify.com/track/1j3SdMJfeRJXycCp50boYE,United States,viral50,SAME_POSITION,
#BrooklynBloodPop!,1,2021-05-07,SyKo,https://open.spotify.com/track/7K9Z3yFNNLv5kwTjQYGjnu,United States,viral50,SAME_POSITION,
SugarCrash!,1,2021-03-09,ElyOtto,https://open.spotify.com/track/3FxPbp05KjMBa4HbhAJTH0,United States,viral50,SAME_POSITION,
Wake Up,1,2021-08-22,Cheese People,https://open.spotify.com/track/5lLuXWPq7zaPxmaS0yrphL,United States,viral50,SAME_POSITION,
abcdefu,1,2021-11-24,GAYLE,https://open.spotify.com/track/4fouWK6XVHhzl78KzQ1UjL,United States,viral50,SAME_POSITION,
Hadal Ahbek,1,2021-02-10,Issam Alnajjar,https://open.spotify.com/track/0ymn3NBfT1W2QW0d7U5kHS,United States,viral50,SAME_POSITION,
#BrooklynBloodPop!,1,2021-05-08,SyKo,https://open.spotify.com/track/7K9Z3yFNNLv5kwTjQYGjnu,United States,viral50,SAME_POSITION,
Want You Back,1,2017-05-10,HAIM,https://open.spotify.com/track/1ZeDWXJnkZOLOmbGEOPSMe,United States,viral50,SAME_POSITION,
I WANNA BE YOUR SLAVE,1,2021-06-06,Måneskin,https://open.spotify.com/track/4pt5fDVTg5GhEvEtlz9dKk,United States,viral50,SAME_POSITION,
Wake Up,1,2021-08-23,Cheese People,https://open.spotify.com/track/5lLuXWPq7zaPxmaS0yrphL,United States,viral50,SAME_POSITION,
SugarCrash!,1,2021-03-10,ElyOtto,https://open.spotify.com/track/3FxPbp05KjMBa4HbhAJTH0,United States,viral50,SAME_POSITION,
Yucky Blucky Fruitcake,1,2021-04-11,Iamdoechii,https://open.spotify.com/track/1j3SdMJfeRJXycCp50boYE,United States,viral50,SAME_POSITION,
abcdefu,1,2021-11-25,GAYLE,https://open.spotify.com/track/4fouWK6XVHhzl78KzQ1UjL,United States,viral50,SAME_POSITION,
1-800-273-8255,1,2017-05-11,"Logic, Alessia Cara, Khalid",https://open.spotify.com/track/5tz69p7tJuGPeMGwNTxYuV,United States,viral50,MOVE_UP,
#BrooklynBloodPop!,1,2021-05-09,SyKo,https://open.spotify.com/track/7K9Z3yFNNLv5kwTjQYGjnu,United States,viral50,SAME_POSITION,
Hadal Ahbek,1,2021-02-11,Issam Alnajjar,https://open.spotify.com/track/0ymn3NBfT1W2QW0d7U5kHS,United States,viral50,SAME_POSITION,
Wake Up,1,2021-08-24,Cheese People,https://open.spotify.com/track/5lLuXWPq7zaPxmaS0yrphL,United States,viral50,SAME_POSITION,
abcdefu,1,2021-11-26,GAYLE,https://open.spotify.com/track/4fouWK6XVHhzl78KzQ1UjL,United States,viral50,SAME_POSITION,
SugarCrash!,1,2021-03-11,ElyOtto,https://open.spotify.com/track/3FxPbp05KjMBa4HbhAJTH0,United States,viral50,SAME_POSITION,
I WANNA BE YOUR SLAVE,1,2021-06-07,Måneskin,https://open.spotify.com/track/4pt5fDVTg5GhEvEtlz9dKk,United States,viral50,SAME_POSITION,
#BrooklynBloodPop!,1,2021-05-10,SyKo,https://open.spotify.com/track/7K9Z3yFNNLv5kwTjQYGjnu,United States,viral50,SAME_POSITION,
Yucky Blucky Fruitcake,1,2021-04-12,Iamdoechii,https://open.spotify.com/track/1j3SdMJfeRJXycCp50boYE,United States,viral50,SAME_POSITION,
abcdefu,1,2021-11-27,GAYLE,https://open.spotify.com/track/4fouWK6XVHhzl78KzQ1UjL,United States,viral50,SAME_POSITION,
1-800-273-8255,1,2017-05-12,"Logic, Alessia Cara, Khalid",https://open.spotify.com/track/5tz69p7tJuGPeMGwNTxYuV,United States,viral50,SAME_POSITION,
SugarCrash!,1,2021-03-12,ElyOtto,https://open.spotify.com/track/3FxPbp05KjMBa4HbhAJTH0,United States,viral50,SAME_POSITION,
Hadal Ahbek,1,2021-02-12,Issam Alnajjar,https://open.spotify.com/track/0UdZzUSOLhqIFCU7wHWkgp,United States,viral50,SAME_POSITION,
I WANNA BE YOUR SLAVE,1,2021-06-08,Måneskin,https://open.spotify.com/track/4pt5fDVTg5GhEvEtlz9dKk,United States,viral50,SAME_POSITION,
